date,location,new_cases
2020-03-03,Marzahn-Hellersdorf,1
2020-03-04,Marzahn-Hellersdorf,0
2020-03-05,Marzahn-Hellersdorf,0
2020-03-06,Marzahn-Hellersdorf,0
2020-03-07,Marzahn-Hellersdorf,0
2020-03-08,Marzahn-Hellersdorf,0
2020-03-09,Marzahn-Hellersdorf,1
2020-03-10,Marzahn-Hellersdorf,1
2020-03-11,Marzahn-Hellersdorf,0
2020-03-12,Marzahn-Hellersdorf,1
2020-03-13,Marzahn-Hellersdorf,0
2020-03-14,Marzahn-Hellersdorf,4
2020-03-15,Marzahn-Hellersdorf,2
2020-03-16,Marzahn-Hellersdorf,1
2020-03-17,Marzahn-Hellersdorf,6
2020-03-18,Marzahn-Hellersdorf,3
2020-03-19,Marzahn-Hellersdorf,4
2020-03-20,Marzahn-Hellersdorf,5
2020-03-21,Marzahn-Hellersdorf,8
2020-03-22,Marzahn-Hellersdorf,2
2020-03-23,Marzahn-Hellersdorf,2
2020-03-24,Marzahn-Hellersdorf,4
2020-03-25,Marzahn-Hellersdorf,4
2020-03-26,Marzahn-Hellersdorf,13
2020-03-27,Marzahn-Hellersdorf,7
2020-03-28,Marzahn-Hellersdorf,11
2020-03-29,Marzahn-Hellersdorf,2
2020-03-30,Marzahn-Hellersdorf,4
2020-03-31,Marzahn-Hellersdorf,8
2020-04-01,Marzahn-Hellersdorf,8
2020-04-02,Marzahn-Hellersdorf,7
2020-04-03,Marzahn-Hellersdorf,8
2020-04-04,Marzahn-Hellersdorf,8
2020-04-05,Marzahn-Hellersdorf,3
2020-04-06,Marzahn-Hellersdorf,7
2020-04-07,Marzahn-Hellersdorf,10
2020-04-08,Marzahn-Hellersdorf,9
2020-04-09,Marzahn-Hellersdorf,8
2020-04-10,Marzahn-Hellersdorf,3
2020-04-11,Marzahn-Hellersdorf,4
2020-04-12,Marzahn-Hellersdorf,5
2020-04-13,Marzahn-Hellersdorf,6
2020-04-14,Marzahn-Hellersdorf,2
2020-04-15,Marzahn-Hellersdorf,10
2020-04-16,Marzahn-Hellersdorf,6
2020-04-17,Marzahn-Hellersdorf,9
2020-04-18,Marzahn-Hellersdorf,6
2020-04-19,Marzahn-Hellersdorf,4
2020-04-20,Marzahn-Hellersdorf,6
2020-04-21,Marzahn-Hellersdorf,15
2020-04-22,Marzahn-Hellersdorf,10
2020-04-23,Marzahn-Hellersdorf,12
2020-04-24,Marzahn-Hellersdorf,9
2020-04-25,Marzahn-Hellersdorf,3
2020-04-26,Marzahn-Hellersdorf,8
2020-04-27,Marzahn-Hellersdorf,0
2020-04-28,Marzahn-Hellersdorf,8
2020-04-29,Marzahn-Hellersdorf,6
2020-04-30,Marzahn-Hellersdorf,6
2020-05-01,Marzahn-Hellersdorf,2
2020-05-02,Marzahn-Hellersdorf,4
2020-05-03,Marzahn-Hellersdorf,9
2020-05-04,Marzahn-Hellersdorf,6
2020-05-05,Marzahn-Hellersdorf,4
2020-05-06,Marzahn-Hellersdorf,4
2020-05-07,Marzahn-Hellersdorf,2
2020-05-08,Marzahn-Hellersdorf,0
2020-05-09,Marzahn-Hellersdorf,0
2020-05-10,Marzahn-Hellersdorf,2
2020-05-11,Marzahn-Hellersdorf,1
2020-05-12,Marzahn-Hellersdorf,1
2020-05-13,Marzahn-Hellersdorf,2
2020-05-14,Marzahn-Hellersdorf,0
2020-05-15,Marzahn-Hellersdorf,2
2020-05-16,Marzahn-Hellersdorf,2
2020-05-17,Marzahn-Hellersdorf,2
2020-05-18,Marzahn-Hellersdorf,1
2020-05-19,Marzahn-Hellersdorf,2
2020-05-20,Marzahn-Hellersdorf,8
2020-05-21,Marzahn-Hellersdorf,0
2020-05-22,Marzahn-Hellersdorf,0
2020-05-23,Marzahn-Hellersdorf,1
2020-05-24,Marzahn-Hellersdorf,0
2020-05-25,Marzahn-Hellersdorf,1
2020-05-26,Marzahn-Hellersdorf,2
2020-05-27,Marzahn-Hellersdorf,4
2020-05-28,Marzahn-Hellersdorf,1
2020-05-29,Marzahn-Hellersdorf,4
2020-05-30,Marzahn-Hellersdorf,4
2020-05-31,Marzahn-Hellersdorf,0
2020-06-01,Marzahn-Hellersdorf,0
2020-06-02,Marzahn-Hellersdorf,1
2020-06-03,Marzahn-Hellersdorf,7
2020-06-04,Marzahn-Hellersdorf,1
2020-06-05,Marzahn-Hellersdorf,1
2020-06-06,Marzahn-Hellersdorf,2
2020-06-07,Marzahn-Hellersdorf,1
2020-06-08,Marzahn-Hellersdorf,0
2020-06-09,Marzahn-Hellersdorf,1
2020-06-10,Marzahn-Hellersdorf,4
2020-06-11,Marzahn-Hellersdorf,4
2020-06-12,Marzahn-Hellersdorf,3
2020-06-13,Marzahn-Hellersdorf,1
2020-06-14,Marzahn-Hellersdorf,1
2020-06-15,Marzahn-Hellersdorf,4
2020-06-16,Marzahn-Hellersdorf,8
2020-06-17,Marzahn-Hellersdorf,3
2020-06-18,Marzahn-Hellersdorf,5
2020-06-19,Marzahn-Hellersdorf,9
2020-06-20,Marzahn-Hellersdorf,5
2020-06-21,Marzahn-Hellersdorf,14
2020-06-22,Marzahn-Hellersdorf,0
2020-06-23,Marzahn-Hellersdorf,4
2020-06-24,Marzahn-Hellersdorf,3
2020-06-25,Marzahn-Hellersdorf,3
